code,name,rawName,canonicalName,methodText,unit,sourceType
IP-0213,相对耐久性指标,相对耐久性指标,相对耐久性指标,见对应标准条款,,official
IP-0214,含气量1h 经时变化量（坍落度、含气量）,含气量1h 经时变化量（坍落度、含气量）,含气量1h 经时变化量（坍落度、含气量）,见对应标准条款,,official
IP-0215,硫酸钠含量,硫酸钠含量,硫酸钠含量,见对应标准条款,,official
IP-0216,收缩率比,收缩率比,收缩率比,见对应标准条款,,official
IP-0217,细度,细度,细度,见对应标准条款,,official
IP-0218,烧失量,烧失量,烧失量,见对应标准条款,,official
IP-0219,需水量比,需水量比,需水量比,见对应标准条款,,official
IP-0220,比表面积,比表面积,比表面积,见对应标准条款,,official
IP-0221,活性指数,活性指数,活性指数,见对应标准条款,,official
IP-0222,流动度比,流动度比,流动度比,见对应标准条款,,official
IP-0223,稠度,稠度,稠度,见对应标准条款,,official
IP-0224,拉伸粘结强度（抹灰、砌筑）,拉伸粘结强度（抹灰、砌筑）,拉伸粘结强度（抹灰、砌筑）,见对应标准条款,,official
IP-0225,分层度,分层度,分层度,见对应标准条款,,official
IP-0226,最大干密度,最大干密度,最大干密度,见对应标准条款,,official
IP-0227,最优含水率,最优含水率,最优含水率,见对应标准条款,,official
IP-0228,压实系数,压实系数,压实系数,见对应标准条款,,official
IP-0229,混凝土强度（回弹法/钻芯法/回弹-钻芯综合法/超声回弹综合法等）,混凝土强度（回弹法/钻芯法/回弹-钻芯综合法/超声回弹综合法等）,混凝土强度（回弹法/钻芯法/回弹-钻芯综合法/超声回弹综合法等）,见对应标准条款,,official
IP-0230,砂浆强度（推出法/筒压法/砂浆片剪切法/回弹法/点荷法/贯入法等）,砂浆强度（推出法/筒压法/砂浆片剪切法/回弹法/点荷法/贯入法等）,砂浆强度（推出法/筒压法/砂浆片剪切法/回弹法/点荷法/贯入法等）,见对应标准条款,,official
IP-0231,砖强度（回弹法）,砖强度（回弹法）,砖强度（回弹法）,见对应标准条款,,official
IP-0232,砌体抗压强度（原位轴压法/扁顶法）,砌体抗压强度（原位轴压法/扁顶法）,砌体抗压强度（原位轴压法/扁顶法）,见对应标准条款,,official
IP-0233,砌体抗剪强度（原位单剪法/原位单砖双剪法）,砌体抗剪强度（原位单剪法/原位单砖双剪法）,砌体抗剪强度（原位单剪法/原位单砖双剪法）,见对应标准条款,,official
IP-0234,钢筋保护层厚度,钢筋保护层厚度,钢筋保护层厚度,见对应标准条款,,official
IP-0235,钢筋数量,钢筋数量,钢筋数量,见对应标准条款,,official
IP-0236,间距,间距,间距,见对应标准条款,,official
IP-0237,直径,直径,直径,见对应标准条款,,official
IP-0238,锈蚀状况,锈蚀状况,锈蚀状况,见对应标准条款,,official
IP-0239,锚固承载力,锚固承载力,锚固承载力,见对应标准条款,,official
IP-0240,轴线位置,轴线位置,轴线位置,见对应标准条款,,official
IP-0241,标高,标高,标高,见对应标准条款,,official
IP-0242,预埋件位置,预埋件位置,预埋件位置,见对应标准条款,,official
IP-0243,预留插筋位置及外露长度,预留插筋位置及外露长度,预留插筋位置及外露长度,见对应标准条款,,official
IP-0244,垂直度,垂直度,垂直度,见对应标准条款,,official
IP-0245,平整度,平整度,平整度,见对应标准条款,,official
IP-0246,构件挠度,构件挠度,构件挠度,见对应标准条款,,official
IP-0247,平面外变形,平面外变形,平面外变形,见对应标准条款,,official
IP-0248,内部缺陷,内部缺陷,内部缺陷,见对应标准条款,,official
IP-0249,钢筋套筒灌浆连接灌浆饱满性,钢筋套筒灌浆连接灌浆饱满性,钢筋套筒灌浆连接灌浆饱满性,见对应标准条款,,official
IP-0250,钢筋浆锚搭接连接灌浆饱满性,钢筋浆锚搭接连接灌浆饱满性,钢筋浆锚搭接连接灌浆饱满性,见对应标准条款,,official
IP-0251,外墙板接缝防水性能,外墙板接缝防水性能,外墙板接缝防水性能,见对应标准条款,,official
IP-0252,静载试验,静载试验,静载试验,见对应标准条款,,official
IP-0253,动力测试,动力测试,动力测试,见对应标准条款,,official
IP-0254,后置埋件现场拉拔力,后置埋件现场拉拔力,后置埋件现场拉拔力,见对应标准条款,,official
IP-0255,饰面砖粘结强度,饰面砖粘结强度,饰面砖粘结强度,见对应标准条款,,official
IP-0256,抹灰砂浆拉伸粘接强度,抹灰砂浆拉伸粘接强度,抹灰砂浆拉伸粘接强度,见对应标准条款,,official
IP-0257,甲醛,甲醛,甲醛,见对应标准条款,,official
IP-0258,TVOC,TVOC,TVOC,见对应标准条款,,official
IP-0259,氡,氡,氡,见对应标准条款,,official
IP-0260,土壤中的氡,土壤中的氡,土壤中的氡,见对应标准条款,,official
IP-0261,断面收缩率,断面收缩率,断面收缩率,见对应标准条款,,official
IP-0262,冲击韧性,冲击韧性,冲击韧性,见对应标准条款,,official
IP-0263,冷弯性能,冷弯性能,冷弯性能,见对应标准条款,,official
IP-0264,钢材元素含量（钢材化学分析C、S、P）,钢材元素含量（钢材化学分析C、S、P）,钢材元素含量（钢材化学分析C、S、P）,见对应标准条款,,official
IP-0265,内部缺陷探伤（超声法/射线法）,内部缺陷探伤（超声法/射线法）,内部缺陷探伤（超声法/射线法）,见对应标准条款,,official
IP-0266,涂层厚度,涂层厚度,涂层厚度,见对应标准条款,,official
IP-0267,涂料粘结强度,涂料粘结强度,涂料粘结强度,见对应标准条款,,official
IP-0268,涂料抗压强度,涂料抗压强度,涂料抗压强度,见对应标准条款,,official
IP-0269,涂层附着力,涂层附着力,涂层附着力,见对应标准条款,,official
IP-0270,抗滑移系数,抗滑移系数,抗滑移系数,见对应标准条款,,official
IP-0271,紧固轴力,紧固轴力,紧固轴力,见对应标准条款,,official
IP-0272,扭矩系数,扭矩系数,扭矩系数,见对应标准条款,,official
